date,precipitation,sunhours,temperature
2012-01-01,14,0,8.5
2012-01-02,0,0,7.2
2012-01-03,20.8,0,5.1
2012-01-04,19.7,2.7,5.4
2012-01-05,3.3,0.4,5
2012-01-06,0.7,5.6,2.4
2012-01-07,5.8,0,5.5
2012-01-08,0.3,0,5
2012-01-09,3,0,4.7
2012-01-10,0.2,0.7,5.5
2012-01-11,0.8,0,7.2
2012-01-12,3.4,0,6.8
2012-01-13,0,5.2,3.8
2012-01-14,0,4.4,1.8
2012-01-15,0.1,4.9,0.3
2012-01-16,0.9,0,2.6
2012-01-17,0,0.4,3.9
2012-01-18,4,0,2.5
2012-01-19,2.5,0,4.6
2012-01-20,0.1,1.1,2.8
2012-01-21,7.3,0.6,3
2012-01-22,1,0,3.8
2012-01-23,0,2.9,1.4
2012-01-24,0,4.2,0.8
2012-01-25,0,3.1,-1.6
2012-01-26,0.4,7.2,-0.9
2012-01-27,0.2,0,-1
2012-01-28,1.7,0.8,-1.2
2012-01-29,0.1,0,-2.9
2012-01-30,0,6.8,-3.5
2012-01-31,0,7.5,-3.1
2012-02-01,0.6,0.5,-2.6
2012-02-02,0.6,2.8,-6.1
2012-02-03,0.3,4.7,-6
2012-02-04,0,3.4,-8.7
2012-02-05,0,4,-10
2012-02-06,0.2,4.2,-11.9
2012-02-07,0,0,-4.8
2012-02-08,0.1,3.8,-2.6
2012-02-09,0.1,1.8,-2.2
2012-02-10,0.5,0.6,-3
2012-02-11,0.2,0,-4.3
2012-02-12,0.2,0,-2.9
2012-02-13,0.2,1,-3.4
2012-02-14,1.2,0,1.4
2012-02-15,0,8.6,3.1
2012-02-16,4.3,0,1.2
2012-02-17,0,5.2,4.1
2012-02-18,4.3,0,4.9
2012-02-19,0,4.6,2.7
2012-02-20,2.5,6.9,2.3
2012-02-21,0.8,0,3.8
2012-02-22,5.3,0,6.2
2012-02-23,0.1,4.9,7.4
2012-02-24,0,0,7.6
2012-02-25,0.8,2.3,5.5
2012-02-26,0,8.9,3
2012-02-27,1.2,0,3.2
2012-02-28,0,0,6.7
2012-02-29,0,0,7.3
2012-03-01,0,2.1,6.5
2012-03-02,0,0.1,4.2
2012-03-03,0,4.6,4.7
2012-03-04,0,0,4.4
2012-03-05,0,0,3.6
2012-03-06,0,7.9,2.3
2012-03-07,7.3,0,2.7
2012-03-08,0,9.4,4.8
2012-03-09,0.4,0.4,6
2012-03-10,0.1,2.8,7.6
2012-03-11,0,0.4,7.6
2012-03-12,0,6.2,7.6
2012-03-13,0,2.9,8
2012-03-14,0,0,6.9
2012-03-15,0,3.2,5.6
2012-03-16,0,7.2,7.4
2012-03-17,0.6,2.1,7.8
2012-03-18,0.8,0,7.8
2012-03-19,0,7.5,5.9
2012-03-20,0,1.1,6.9
2012-03-21,0,6.3,9.2
2012-03-22,0,10.3,7.8
2012-03-23,0,11,8.2
2012-03-24,0,5.1,5.6
2012-03-25,0,10.1,8.3
2012-03-26,0,2.8,5.8
2012-03-27,0,6,10.5
2012-03-28,0,10.2,10
2012-03-29,0.2,1.1,7.6
2012-03-30,0.3,8.2,7.9
2012-03-31,0,8.4,5.1
2012-04-01,1.1,2.5,4.5
2012-04-02,0.3,2.5,4
2012-04-03,0.6,0,2.6
2012-04-04,0.1,0.2,3.5
2012-04-05,0,11.9,2.8
2012-04-06,11.7,5.3,2.7
2012-04-07,0,7,2.6
2012-04-08,0,11,2.9
2012-04-09,2,0,6.1
2012-04-10,1.7,0,9.4
2012-04-11,0,3,8.2
2012-04-12,14.7,3.2,6.6
2012-04-13,0,1.1,6.7
2012-04-14,1.4,3.4,5.7
2012-04-15,1.8,1.9,6.2
2012-04-16,0.1,10.1,4.3
2012-04-17,0,9.4,5.7
2012-04-18,0,5.3,8.1
2012-04-19,0.4,11.4,10.8
2012-04-20,8.1,3.5,7.5
2012-04-21,2.2,5.9,8.9
2012-04-22,1,5.7,7.7
2012-04-23,4,4.7,7.6
2012-04-24,4.2,1,8.4
2012-04-25,1.1,5.9,9.8
